,ID,Count
0,18288,411.7761157576367
1,18289,328.6188833957198
2,18290,278.1127924275792
3,18291,229.79466454252673
4,18292,193.41886358590102
5,18293,173.14178765534285
6,18294,186.17443732417206
7,18295,215.91317300868715
8,18296,248.63749042530895
9,18297,321.2939635088602
10,18298,456.04029197703494
11,18299,505.58045944361123
12,18300,510.9369443159211
13,18301,451.8838938793961
14,18302,483.1739612482411
15,18303,477.0710809429052
16,18304,464.89459074137164
17,18305,475.72464212254323
18,18306,487.4328057778642
19,18307,517.2154470760868
20,18308,497.02618237294257
21,18309,463.92134963752306
22,18310,465.60439816297526
23,18311,454.59872432697375
24,18312,392.50606551946174
25,18313,313.2403751483506
26,18314,265.0978377547033
27,18315,219.04087246779312
28,18316,184.36736429859224
29,18317,165.03920273414832
30,18318,177.46195832645296
31,18319,205.80899859996538
32,18320,237.00190315290507
33,18321,306.2582424431872
34,18322,434.698793524993
35,18323,481.9206101223547
36,18324,487.0264254472103
37,18325,430.73690403794706
38,18326,460.5626777115539
39,18327,454.7453963168421
40,18328,443.13873415760884
41,18329,453.4619673280807
42,18330,464.62221940426684
43,18331,493.0111106230649
44,18332,473.7666509491915
45,18333,442.21103820377596
46,18334,443.8153244397275
47,18335,433.3246874881128
48,18336,377.77029897337945
49,18337,301.48046250882356
50,18338,255.14532952058318
51,18339,210.81747047663197
52,18340,177.44570199147597
53,18341,158.84317323018803
54,18342,170.7995441157367
55,18343,198.08235786018884
56,18344,228.10419424433982
57,18345,294.7604584344647
58,18346,418.37899492323015
59,18347,463.8279735280383
60,18348,468.7421023816163
61,18349,414.5658457581592
62,18350,443.27187714872923
63,18351,437.67299263522716
64,18352,426.5020767713571
65,18353,436.43774713104915
66,18354,447.1790123847706
67,18355,474.50210587392417
68,18356,455.9801366020383
69,18357,425.6092090971416
70,18358,427.1532659773639
71,18359,417.0564766388659
72,18360,263.2621182282551
73,18361,210.09694351354983
74,18362,177.8067256430029
75,18363,146.91534508675525
76,18364,123.65908993832133
77,18365,110.6952832563042
78,18366,119.02748812843467
79,18367,138.04044747730492
80,18368,158.9621881781286
81,18369,205.41387946133085
82,18370,291.5616731252328
83,18371,323.23434408779457
84,18372,326.6589223957115
85,18373,288.90435006663097
86,18374,308.9091271768103
87,18375,305.0073535309054
88,18376,297.2225197817618
89,18377,304.14653056825966
90,18378,311.63194763474405
91,18379,330.67297729761367
92,18380,317.76531124359457
93,18381,296.6002944881103
94,18382,297.6763231914173
95,18383,290.6400311489221
96,18384,262.2708892890302
97,18385,209.30589096161083
98,18386,177.13725153395794
99,18387,146.36218254804191
100,18388,123.19349135782673
101,18389,110.27849572554291
102,18390,118.57932835675855
103,18391,137.5207005146811
104,18392,158.36366712152883
105,18393,204.6404594827528
106,18394,290.4638913026313
107,18395,322.01730899680825
108,18396,325.42899315517457
109,18397,287.81657354040203
110,18398,307.74602908845236
111,18399,303.85894631785516
112,18400,296.10342385949326
113,18401,303.0013645075555
114,18402,310.45859764059594
115,18403,329.42793442276735
116,18404,316.5688680389807
117,18405,295.4835413553093
118,18406,296.5555186181838
119,18407,289.5457194731259
120,18408,410.20317849166366
121,18409,327.3635971656174
122,18410,277.05043363936176
123,18411,228.91687542958684
124,18412,192.68002583685706
125,18413,172.48040599749896
126,18414,185.46327244784123
127,18415,215.0884095922491
128,18416,247.68772389091822
129,18417,320.0666576278344
130,18418,454.2982706635448
131,18419,503.6492004045981
132,18420,508.98522412253817
133,18421,450.1577495272203
134,18422,481.32829244786177
135,18423,475.248724441357
136,18424,463.11874702789885
137,18425,473.90742886198416
138,18426,485.5708686826173
139,18427,515.2397437263525
140,18428,495.12759968564825
141,18429,462.14922359280877
142,18430,463.8258430670246
143,18431,452.8622096356296
144,18432,400.84813161508566
145,18433,319.8977803271656
146,18434,270.7320530665863
147,18435,223.69622329237512
148,18436,188.28578715613295
149,18437,168.54683754166462
150,18438,181.2336182213361
151,18439,210.1831278688287
152,18440,242.03898592581362
153,18441,312.76725395975956
154,18442,443.9375961469964
155,18443,492.16303421626907
156,18444,497.37736518624115
157,18445,439.89150326319344
158,18446,470.3511743391475
159,18447,464.410256266803
160,18448,452.55691373397156
161,18449,463.0995501213456
162,18450,474.4969948644531
163,18451,503.4892449297324
164,18452,483.8357761508364
165,18453,451.60950113970074
